"","ES_score","Gene"
"UBA3",24.0204860393385,"UBA3"
"METTL14",11.1009854300904,"METTL14"
"TNIP1",20.7136721530213,"TNIP1"
"WTAP",51.143441903499,"WTAP"
"GIGYF1",21.9038336091898,"GIGYF1"
"OGT",41.9960096825336,"OGT"
"RSU1",20.6700589558217,"RSU1"
"ADD3",30.0859683541947,"ADD3"
"ATM",36.0605340760799,"ATM"
"LAMTOR1",25.8958912031551,"LAMTOR1"
"CWC15",23.9280058736546,"CWC15"
"SRP19",20.2212127602157,"SRP19"
"GTF3C6",20.7679365122384,"GTF3C6"
"NIFK",13.7239780985818,"NIFK"
"SMG1",27.2689485792666,"SMG1"
"APPL1",18.4646166730755,"APPL1"
"PAXBP1",12.2972344162794,"PAXBP1"
"FDPS",15.9588718172319,"FDPS"
"VPS28",24.2214757058537,"VPS28"
"MYSM1",12.6799450344528,"MYSM1"
"ZNF326",11.4852664029679,"ZNF326"
"CAPN2",37.1045889327712,"CAPN2"
"SSR2",39.5397883637432,"SSR2"
"PPM1K",20.0090269514979,"PPM1K"
"RPN1",39.9681012559306,"RPN1"
"GNL3",28.3930558535094,"GNL3"
"DNAJB14",19.1614039164869,"DNAJB14"
"PSIP1",28.9458865376402,"PSIP1"
"CCDC186",20.1360996013104,"CCDC186"
"NDUFB8",41.6787283413625,"NDUFB8"
"TAF10",15.686583483844,"TAF10"
"TPP1",31.9194145174443,"TPP1"
"OTUB1",28.0134517184744,"OTUB1"
"PAFAH1B2",31.8661223108267,"PAFAH1B2"
"ZRSR2",16.2197535828272,"ZRSR2"
"PWWP2A",8.99678339234582,"PWWP2A"
"KBTBD2",22.8137131801288,"KBTBD2"
"SCAND1",30.1391521492146,"SCAND1"
"PAIP1",13.3591328100853,"PAIP1"
"ZNF131",19.9877187977486,"ZNF131"
"BSG",33.3122528237732,"BSG"
"NAA20",18.3742292850763,"NAA20"
"CHD2",48.4587083627144,"CHD2"
"UQCRH",34.3266292028253,"UQCRH"
"RBM4",25.1997797879665,"RBM4"
"PRPF8",18.1040853089676,"PRPF8"
"ZBTB8OS",16.0249467547622,"ZBTB8OS"
"CALR",55.0059983485993,"CALR"
"TRAPPC5",14.1105881678384,"TRAPPC5"
"EWSR1",41.973696418512,"EWSR1"
"NDUFB1",37.6438096875086,"NDUFB1"
"UQCR10",39.4092440450552,"UQCR10"
"GPATCH8",22.7733830382778,"GPATCH8"
"TCEA1",29.7902328656771,"TCEA1"
"TRRAP",11.1817272684355,"TRRAP"
"SND1",23.2171344321068,"SND1"
"SDAD1",14.4161411463975,"SDAD1"
"MDM4",46.9759270281924,"MDM4"
"FOXJ3",13.2581513759061,"FOXJ3"
"BRD2",33.5669117845925,"BRD2"
"TMX2",11.8397862856261,"TMX2"
"NDUFS3",12.9047078222783,"NDUFS3"
"RPS29",78.5846627043371,"RPS29"
"PSMB9",30.86162734664,"PSMB9"
"DDOST",28.9360547529948,"DDOST"
"CUX1",19.1809422739723,"CUX1"
"NDUFAB1",23.820194222983,"NDUFAB1"
"KMT2E",57.8103088794032,"KMT2E"
"AP2B1",24.138676413183,"AP2B1"
"CDK11A",19.6146075053596,"CDK11A"
"RPS20",78.1056328952226,"RPS20"
"BAZ1B",17.8906957098599,"BAZ1B"
"TTC19",21.3589025943653,"TTC19"
"PSMC4",15.9378024644246,"PSMC4"
"CLK1",57.1434493719621,"CLK1"
"ARID1B",29.8381289210761,"ARID1B"
"GINM1",14.0649358221185,"GINM1"
"ZFR",28.2223027800184,"ZFR"
"CS",27.2060150037337,"CS"
"SLK",19.2210284763572,"SLK"
"DHX8",10.8401804505448,"DHX8"
"RORA",16.2530370465331,"RORA"
"FBXW11",13.1405764424908,"FBXW11"
"SDHA",16.966456204815,"SDHA"
"NCBP3",13.0973515341895,"NCBP3"
"PCM1",41.7986597312802,"PCM1"
"SAR1A",50.0867294552971,"SAR1A"
"B4GALT1",44.8039941858589,"B4GALT1"
"TMED2",37.964424878405,"TMED2"
"ADD1",25.7535912622297,"ADD1"
"XRN2",23.9634195413126,"XRN2"
"DLD",13.2416147321018,"DLD"
"SUCO",12.7644448823986,"SUCO"
"FKBP5",48.6840272655124,"FKBP5"
"HNRNPH3",28.0834366838233,"HNRNPH3"
"PSMD8",27.4583165458649,"PSMD8"
"ASCC2",14.1871531537776,"ASCC2"
"TNRC6B",52.7795316841744,"TNRC6B"
"SNW1",24.7889542980896,"SNW1"
"PPM1A",16.7080659671757,"PPM1A"
"YY1",26.4273561892332,"YY1"
"CHD8",14.8090979590192,"CHD8"
"PRPF6",16.2973184678735,"PRPF6"
"PSMA7",50.3673279997838,"PSMA7"
"DIDO1",10.5768761943953,"DIDO1"
"USP14",14.3150317761517,"USP14"
"RBBP7",23.6713456014305,"RBBP7"
"SUPT20H",12.6549011418231,"SUPT20H"
"KPNA3",10.9384192088465,"KPNA3"
"RAB2A",31.5486159616636,"RAB2A"
"RPS16",76.5379596176492,"RPS16"
"GPI",28.2026200295901,"GPI"
"PDAP1",17.9404191841331,"PDAP1"
"LSM5",16.956815136114,"LSM5"
"TMEM106B",9.77645921214362,"TMEM106B"
"KDM4C",12.9686260229749,"KDM4C"
"TFAM",14.1602523687644,"TFAM"
"CBL",12.2847053343115,"CBL"
"CHD4",23.4794351708116,"CHD4"
"GNAI2",40.5615139285095,"GNAI2"
"ASH1L",28.2231783175854,"ASH1L"
"GON4L",23.0028773782244,"GON4L"
"SMG7",13.0485548112046,"SMG7"
"UCHL5",12.8929906437842,"UCHL5"
"MRPS15",12.2181628053611,"MRPS15"
"TSNAX",19.3442515257042,"TSNAX"
"RAB14",21.4905616232303,"RAB14"
"FBXW2",11.3734699925015,"FBXW2"
"SERP1",46.2139988330411,"SERP1"
"SPOP",20.476691129745,"SPOP"
"DDX39A",24.8623405814309,"DDX39A"
"BAZ2B",28.6906552461038,"BAZ2B"
"USP9X",31.1347334714032,"USP9X"
"RBCK1",11.033602402247,"RBCK1"
"PSMB2",21.1980466596454,"PSMB2"
"UBR4",25.0513654414015,"UBR4"
"MBD4",15.0189791744171,"MBD4"
"GNL3L",11.6749483926205,"GNL3L"
"DIAPH1",24.7989078254015,"DIAPH1"
"NDFIP1",33.1698810403793,"NDFIP1"
"EXOC4",10.9287938763173,"EXOC4"
"PRKAA1",13.8416734695108,"PRKAA1"
"UBE2G1",20.2975547800945,"UBE2G1"
"ANKRD17",20.7057279886422,"ANKRD17"
"MBD2",16.2027641956524,"MBD2"
"IER3IP1",18.5772501249064,"IER3IP1"
"LAMTOR5",31.523062366072,"LAMTOR5"
"NAPG",11.1370023707094,"NAPG"
"TIMM17A",18.2625150971198,"TIMM17A"
"ELP2",21.8071906436658,"ELP2"
"TPP2",27.8910259496945,"TPP2"
"TAOK3",28.8927962299545,"TAOK3"
"REV1",11.1005076872219,"REV1"
"VPS36",15.7401114198165,"VPS36"
"RNASEH2B",16.5883056449561,"RNASEH2B"
"DBNL",24.1226208748337,"DBNL"
"NDUFB5",18.7349587286761,"NDUFB5"
"DCTN3",15.2849734780156,"DCTN3"
"MTCH1",25.9165725840873,"MTCH1"
"RABGGTB",14.1870134048531,"RABGGTB"
"SSB",37.468646304451,"SSB"
"AEBP2",15.8944385999977,"AEBP2"
"USP3",29.6510409897084,"USP3"
"NDUFB10",28.6903022667482,"NDUFB10"
"RERE",17.8794578829372,"RERE"
"ANP32E",30.498496065486,"ANP32E"
"ENSA",28.0204885420743,"ENSA"
"DDX46",29.7182558123591,"DDX46"
"HIGD2A",30.030636767107,"HIGD2A"
"SH3KBP1",32.0699942469654,"SH3KBP1"
"RBMX",47.4566891489102,"RBMX"
"PLPP5",17.8486619462063,"PLPP5"
"COMMD3",18.1481336824845,"COMMD3"
"MTG1",13.0219072072501,"MTG1"
"EI24",14.1312307859212,"EI24"
"MIA2",12.8940403670886,"MIA2"
"NBAS",9.32988850757202,"NBAS"
"EPG5",8.64451039049727,"EPG5"
"TGOLN2",33.8845061773795,"TGOLN2"
"CFDP1",14.9559984615333,"CFDP1"
"CCDC174",13.0983614680975,"CCDC174"
"AZIN1",23.7805472107955,"AZIN1"
"EYA3",12.8260162145763,"EYA3"
"WASF2",36.876071128639,"WASF2"
"PCSK7",21.5555938011282,"PCSK7"
"SYVN1",31.7330878740442,"SYVN1"
"FUBP1",34.5054965430128,"FUBP1"
"SCNM1",14.9810840060403,"SCNM1"
"STT3B",24.5310436429974,"STT3B"
"CLASP2",15.7681942918128,"CLASP2"
"LRPAP1",24.1569954782533,"LRPAP1"
"CFAP97",13.5690923115245,"CFAP97"
"CAMLG",17.5805912517404,"CAMLG"
"SDHAF2",13.4191016034327,"SDHAF2"
"DDB1",19.5023824982872,"DDB1"
"LMAN2",31.1690057238255,"LMAN2"
"TOR1AIP2",28.9105362520743,"TOR1AIP2"
"TRMT112",45.0600906506685,"TRMT112"
"AKIRIN1",22.4517210915595,"AKIRIN1"
"SRP72",26.5823343806427,"SRP72"
"CTDSP2",21.2196403048338,"CTDSP2"
"AURKAIP1",20.9396774652102,"AURKAIP1"
"RHOG",26.3780524956969,"RHOG"
"RPS6KA3",22.2279358787476,"RPS6KA3"
"JUN",38.6783138283673,"JUN"
"PNPLA2",19.9108345841358,"PNPLA2"
"NDUFV2",30.5398249274608,"NDUFV2"
"ZFAND2A",13.7550161594105,"ZFAND2A"
"GAK",14.1649859756768,"GAK"
"TUFM",27.0811856802927,"TUFM"
"PTPN11",13.7819317653048,"PTPN11"
"CLK3",19.3729846837214,"CLK3"
"PCGF5",15.0143749180229,"PCGF5"
"COPG1",12.1771408234696,"COPG1"
"NGRN",11.4561601052958,"NGRN"
"NAA38",26.1734556016359,"NAA38"
"SF3A3",16.581661767796,"SF3A3"
"COMMD6",49.1905643494284,"COMMD6"
"RPL14",69.7641675317407,"RPL14"
"ARID2",19.0964693059649,"ARID2"
"TSPYL1",40.7047622461082,"TSPYL1"
"EVL",25.0349183786557,"EVL"
"PRPF40A",37.9750891648587,"PRPF40A"
"NACA",68.86349534722,"NACA"
"TRAPPC4",12.217536967197,"TRAPPC4"
"PRR13",47.421248139094,"PRR13"
"DNAJC19",17.7512063408046,"DNAJC19"
"TSN",11.4550421763626,"TSN"
"MCTS1",13.6690717389294,"MCTS1"
"EIF6",21.9140643235306,"EIF6"
"GAN",8.7778008129463,"GAN"
"CDC27",15.3431263026818,"CDC27"
"POLR2J",21.812364485371,"POLR2J"
"CSDE1",45.8739645399299,"CSDE1"
"MDH1",27.1094776871645,"MDH1"
"RNF19A",38.1371927036388,"RNF19A"
"ATP6V1H",9.14722435010343,"ATP6V1H"
"RSF1",30.921378475367,"RSF1"
"VPS13D",12.7899227325315,"VPS13D"
"FAM120A",22.2156589950494,"FAM120A"
"MRPL43",12.3154743403939,"MRPL43"
"SFSWAP",15.6694391848889,"SFSWAP"
"RNF4",18.7586691823322,"RNF4"
"DGKA",18.4753242500715,"DGKA"
"SPEN",20.5953136994459,"SPEN"
"ZC3H15",28.7943710067901,"ZC3H15"
"ELOVL1",16.2400785911506,"ELOVL1"
"IDH3G",16.0862153192108,"IDH3G"
"KIF2A",15.1259079486628,"KIF2A"
"ATP2B1",33.8779332307456,"ATP2B1"
"CLNS1A",19.2461043564619,"CLNS1A"
"EED",7.95121976299374,"EED"
"ZZEF1",11.7323242662042,"ZZEF1"
"FRYL",22.5858632959566,"FRYL"
"TMEM131",13.2196935041592,"TMEM131"
"DLG1",12.3868685502265,"DLG1"
"CAPZB",43.1748803724603,"CAPZB"
"PCNP",36.2198868938517,"PCNP"
"MRPL22",13.1482292857487,"MRPL22"
"REST",22.7311801005615,"REST"
"HADHA",27.7865514007976,"HADHA"
"HUWE1",31.1748977727879,"HUWE1"
"SF3B2",35.1782321956629,"SF3B2"
"FUS",41.0657069645549,"FUS"
"IGBP1",15.133935119167,"IGBP1"
"SCFD1",22.7730768295204,"SCFD1"
"DPYSL2",22.1057978581758,"DPYSL2"
"NDUFB7",28.9420201926857,"NDUFB7"
"MAPK1",20.0932919213558,"MAPK1"
"EP300",22.3678658982236,"EP300"
"HIF1A",23.6590021612875,"HIF1A"
"EIF5",59.1480017485658,"EIF5"
"SRP54",24.1539176614998,"SRP54"
"HM13",29.3066902591578,"HM13"
"PGK1",47.2509333640743,"PGK1"
"FNDC3A",19.5602571889671,"FNDC3A"
"NUTF2",16.1214122526956,"NUTF2"
"PSMD7",25.9203047627935,"PSMD7"
"UBE2W",16.18995662817,"UBE2W"
"DNAJB6",42.5097782365578,"DNAJB6"
"TAX1BP1",44.9655630542844,"TAX1BP1"
"MRPL32",15.8091662240584,"MRPL32"
"CCSER2",19.661621587729,"CCSER2"
"SLAIN2",12.7782962032762,"SLAIN2"
"UFSP2",9.61036050043876,"UFSP2"
"FBXO3",8.97928328121495,"FBXO3"
"NDUFS8",21.6913620276801,"NDUFS8"
"NAA25",10.2488105525489,"NAA25"
"CAND1",14.8325146150664,"CAND1"
"KRR1",24.5024429282238,"KRR1"
"TPI1",51.9337031328702,"TPI1"
"CCNC",15.805331231033,"CCNC"
"HSPA9",38.0037369314962,"HSPA9"
"BRIX1",12.4861079891063,"BRIX1"
"CSNK1A1",36.6929822267714,"CSNK1A1"
"ATP6V0E1",46.9738602608383,"ATP6V0E1"
"PRKAR2A",15.8877404387727,"PRKAR2A"
"FXR1",22.4864674433246,"FXR1"
"PSMD14",15.0479032221193,"PSMD14"
"SF3B1",53.1947832650216,"SF3B1"
"HSPE1",52.1757006152292,"HSPE1"
"SUMO1",31.5593936393968,"SUMO1"
"GNPAT",12.2814900736835,"GNPAT"
"NSUN4",14.8890459334081,"NSUN4"
"DR1",23.6054288088154,"DR1"
"SENP5",21.4042200182293,"SENP5"
"PTBP3",23.4986434133021,"PTBP3"
"EXOSC8",17.7135454635924,"EXOSC8"
"ZMYM2",20.171268767234,"ZMYM2"
"GTF3A",34.9380967188942,"GTF3A"
"HERPUD2",21.5656176931832,"HERPUD2"
"AMD1",34.8138281610979,"AMD1"
"PIGT",19.0473189243254,"PIGT"
"NUP153",13.5769166563587,"NUP153"
"COX6B1",48.760329439956,"COX6B1"
"PRMT1",20.4646078204053,"PRMT1"
"COX7C",63.4976994732211,"COX7C"
"RAP1B",44.8661107051942,"RAP1B"
"SAFB2",25.256288552672,"SAFB2"
"LSM4",20.6527059256893,"LSM4"
"JUND",59.4347988851148,"JUND"
"DNMT1",23.2408502030787,"DNMT1"
"LATS1",13.4166830482694,"LATS1"
"SNRPA1",24.9712284748585,"SNRPA1"
"RPA1",10.4696868809224,"RPA1"
"PTPRA",16.4939298210779,"PTPRA"
"DAP3",23.4424427809768,"DAP3"
"AP3B1",14.7910965983767,"AP3B1"
"MKRN1",20.0930919360349,"MKRN1"
"ZFC3H1",29.8957603961359,"ZFC3H1"
"NUMB",18.7494370408093,"NUMB"
"STT3A",27.5218160451197,"STT3A"
"FBXO21",11.7063038271327,"FBXO21"
"CAB39",14.956022036318,"CAB39"
"IREB2",14.4794814809725,"IREB2"
"KAT7",15.8580567295319,"KAT7"
"TANK",29.2554770672053,"TANK"
"DMAC1",14.9522161308507,"DMAC1"
"UQCC2",12.2292465725369,"UQCC2"
"RDX",20.9240195319356,"RDX"
"USP8",28.0651497951133,"USP8"
"G3BP2",26.5568704091844,"G3BP2"
"ZCRB1",17.6708250796556,"ZCRB1"
"TLE3",24.1631871433132,"TLE3"
"ANP32A",18.0695256380043,"ANP32A"
"ARHGAP17",18.8874622841499,"ARHGAP17"
"MBTPS1",17.4799320193564,"MBTPS1"
"RPS8",81.0334931005432,"RPS8"
"UBAP2L",19.0150194153264,"UBAP2L"
"ILF2",32.0619390791498,"ILF2"
"UTP23",9.33027824850565,"UTP23"
"UGCG",24.9349880666003,"UGCG"
"EIF3M",34.6686284999033,"EIF3M"
"MBNL1",58.4659796270155,"MBNL1"
"HNRNPDL",54.8247488687939,"HNRNPDL"
"CMIP",8.86734022847352,"CMIP"
"MIA3",18.6367246055584,"MIA3"
"DBI",39.0061025659132,"DBI"
"GBP2",15.6750965605684,"GBP2"
"CFAP36",10.5195148309111,"CFAP36"
"PDLIM5",18.092724044284,"PDLIM5"
"CWC22",12.114762248728,"CWC22"
"CCNL1",56.4545303374791,"CCNL1"
"RAD54L2",12.0823047526616,"RAD54L2"
"CREBRF",20.8107331088828,"CREBRF"
"MED30",14.2421422707632,"MED30"
"SPIDR",16.4842394287479,"SPIDR"
"NUDT5",14.3056546826027,"NUDT5"
"RPL27A",81.2808127796615,"RPL27A"
"TMEM41B",12.4751326289123,"TMEM41B"
"AP1G1",22.7511433663787,"AP1G1"
"SNRPD1",24.7875526824516,"SNRPD1"
"CTNNB1",35.1881255865058,"CTNNB1"
"IRF2BP2",29.8333625332144,"IRF2BP2"
"ATG4B",14.1370198592858,"ATG4B"
"MAP2K1",18.3688220830635,"MAP2K1"
"UPF3A",19.4286003609223,"UPF3A"
"MRPL1",14.0755311182893,"MRPL1"
"GUSB",14.8238549446415,"GUSB"
"TMED10",35.7475395964654,"TMED10"
"ARL6IP1",42.5401545569859,"ARL6IP1"
"RPS7",74.1668487364337,"RPS7"
"CYCS",24.0257741954195,"CYCS"
"MRPL52",20.9924153646953,"MRPL52"
"DCP2",15.9615588185376,"DCP2"
"RNASEH2C",19.4724872412233,"RNASEH2C"
"KDM2A",30.0093242805584,"KDM2A"
"COMMD1",16.3345208345977,"COMMD1"
"MGA",12.1568105220671,"MGA"
"ANKRD36C",35.9048720672142,"ANKRD36C"
"TMEM167A",16.9437565671654,"TMEM167A"
"PSMD2",22.4375053911818,"PSMD2"
"ARHGAP1",20.6502793964066,"ARHGAP1"
"BANF1",27.5202319386328,"BANF1"
"TMEM70",14.7070038184536,"TMEM70"
"USF3",9.35561498498166,"USF3"
"NFATC2IP",14.6562711170535,"NFATC2IP"
"NDUFAF3",23.1039761596397,"NDUFAF3"
"PDXDC1",14.165780151448,"PDXDC1"
"PITPNB",18.7224283547649,"PITPNB"
"KPNA2",17.5763408625009,"KPNA2"
"NDUFA6",28.1709221584491,"NDUFA6"
"RSBN1L",16.4011811304958,"RSBN1L"
"PTMA",84.2639606552889,"PTMA"
"TMEM120A",8.93927417916634,"TMEM120A"
"SUPT5H",23.7802527579644,"SUPT5H"
"ZBTB44",12.7198265834635,"ZBTB44"
"TRIM33",19.9096074002761,"TRIM33"
"ZNF655",22.0849135799193,"ZNF655"
"TAF13",12.0094759024585,"TAF13"
"MIER1",39.8965749996616,"MIER1"
"COPS8",18.9114814454578,"COPS8"
"SELENOT",34.9261454293653,"SELENOT"
"GDI1",18.8954411275454,"GDI1"
"GIGYF2",23.734889225926,"GIGYF2"
"NAP1L4",25.2807612169898,"NAP1L4"
"MRPL33",32.8641788666122,"MRPL33"
"CHMP1B",31.2650023127342,"CHMP1B"
"CNPY2",26.8410949759881,"CNPY2"
"PPP4R3B",19.3235948841749,"PPP4R3B"
"ZFX",21.8028841828146,"ZFX"
"RUFY3",17.3159614645801,"RUFY3"
"BCLAF1",45.7239161177729,"BCLAF1"
"PIAS1",32.4387455054037,"PIAS1"
"PPP1R12A",40.2992706090172,"PPP1R12A"
"SNRNP40",13.4959344140376,"SNRNP40"
"NDUFB4",36.8531223356427,"NDUFB4"
"DPP8",14.2849806725537,"DPP8"
"SRI",30.2097822487822,"SRI"
"MARK3",24.6441326077516,"MARK3"
"ARHGEF1",23.6562675598388,"ARHGEF1"
"USP33",18.7657010793833,"USP33"
"EIF3I",31.7196562987642,"EIF3I"
"CHMP5",16.1952259422932,"CHMP5"
"DYNLL1",42.9298844405796,"DYNLL1"
"RPLP0",73.2267036766178,"RPLP0"
"NECAP1",14.9523468095771,"NECAP1"
"USP48",20.9507109530065,"USP48"
"HECTD1",23.6720155154293,"HECTD1"
"HNRNPC",61.493086066301,"HNRNPC"
"CBX5",18.1410752968722,"CBX5"
"ARCN1",17.7966577253066,"ARCN1"
"HNRNPM",36.5687992156293,"HNRNPM"
"TIMM13",18.3427991527261,"TIMM13"
"RANBP1",23.6503800264376,"RANBP1"
"SF3A1",21.7373909677773,"SF3A1"
"POLR2F",22.2265565676429,"POLR2F"
"FKBP3",17.842908676802,"FKBP3"
"ATP6V1D",14.3605184867556,"ATP6V1D"
"SEC23A",12.0411110672723,"SEC23A"
"ZMYND8",15.8977525153667,"ZMYND8"
"ANKRD12",58.0618135471364,"ANKRD12"
"ALG13",23.8727879706698,"ALG13"
"PRPS2",15.5940406840008,"PRPS2"
"EIF3J",28.237890119036,"EIF3J"
"CDK6",12.6755158748243,"CDK6"
"CDC37L1",10.4388844512556,"CDC37L1"
"ZFAND5",46.1174109042334,"ZFAND5"
"GLRX3",13.5219399207826,"GLRX3"
"MRPL27",12.005411920902,"MRPL27"
"PRKAR1A",34.1391685682995,"PRKAR1A"
"ELF2",19.8629503403843,"ELF2"
"DHX15",21.5978948089521,"DHX15"
"CLINT1",29.8670447567481,"CLINT1"
"RTN4",34.4040712948258,"RTN4"
"CEBPZ",24.8176516820305,"CEBPZ"
"BCAS2",28.7703538592274,"BCAS2"
"STMN1",20.4529581617669,"STMN1"
"TARDBP",19.4393142414085,"TARDBP"
"SLC35B1",12.5532878940907,"SLC35B1"
"RPL21",80.9291273506116,"RPL21"
"WWP1",12.7100947710385,"WWP1"
"ARFGEF2",15.0211615777364,"ARFGEF2"
"SSR1",40.62070670945,"SSR1"
"CNOT1",21.9304145606582,"CNOT1"
"ERGIC3",26.8436560951521,"ERGIC3"
"MACF1",40.9864967529329,"MACF1"
"SNRPN",31.634704647248,"SNRPN"
"ILF3",33.6592932865288,"ILF3"
"IMMT",16.5541567814891,"IMMT"
"EIF5A",47.9309415041968,"EIF5A"
"TMED7",10.8326197402447,"TMED7"
"HNRNPA1",65.3961154830343,"HNRNPA1"
"PWP1",18.3868213474038,"PWP1"
"XPA",14.6310623972666,"XPA"
"RTF1",26.9314132919278,"RTF1"
"PARP6",11.0538450780469,"PARP6"
"RPLP1",84.8241419392146,"RPLP1"
"HADHB",27.6468574870715,"HADHB"
"RAB1A",37.2367739840096,"RAB1A"
"TDG",19.0457355767495,"TDG"
"TCF12",14.4372635001263,"TCF12"
"SERF2",77.6350116518849,"SERF2"
"LMO4",15.3318659594346,"LMO4"
"MCL1",47.1327094233117,"MCL1"
"PHIP",31.8703293863686,"PHIP"
"POLE3",18.324643702359,"POLE3"
"HERC4",17.023649027521,"HERC4"
"ARFGAP2",13.7242016096335,"ARFGAP2"
"NPAT",15.6972672802915,"NPAT"
"CPSF7",12.4474285750482,"CPSF7"
"FAU",77.103948988895,"FAU"
"ASAP1",17.8451634354064,"ASAP1"
"RABGEF1",12.2506034572787,"RABGEF1"
"BRAF",21.8199707829196,"BRAF"
"PPP1R15B",20.9560622249902,"PPP1R15B"
"ATP6V0D1",24.9686983794191,"ATP6V0D1"
"PRMT2",25.0258500650665,"PRMT2"
"IER2",40.8062144708044,"IER2"
"NXF1",28.025508975596,"NXF1"
"MAPKAPK2",12.5528766909068,"MAPKAPK2"
"MRPS18C",16.6967994630107,"MRPS18C"
"YY1AP1",14.4744169785262,"YY1AP1"
"UBXN7",9.48523109458295,"UBXN7"
"LSM6",11.8939407668448,"LSM6"
"NDEL1",21.3229996705482,"NDEL1"
"TRAPPC2L",12.3080972739033,"TRAPPC2L"
"SETD5",25.2487072893957,"SETD5"
"DNAJC7",20.0741118273088,"DNAJC7"
"ARF4",36.1817993755726,"ARF4"
"STIP1",19.695025330077,"STIP1"
"PCBP1",36.7160901366832,"PCBP1"
"GABARAP",49.9036719548358,"GABARAP"
"CHCHD7",18.2960315783279,"CHCHD7"
"PPP1CA",36.7197307571278,"PPP1CA"
"RPLP2",78.7344772946352,"RPLP2"
"UBE2N",28.3251516101527,"UBE2N"
"TMEM11",10.218737140494,"TMEM11"
"CYC1",20.5501492110623,"CYC1"
"IST1",34.82300568626,"IST1"
"UTP11",12.0663472035062,"UTP11"
"UPP1",25.1397280537989,"UPP1"
"TBK1",14.2800626946858,"TBK1"
"COPB2",21.5744623283881,"COPB2"
"BRWD1",28.9207591403262,"BRWD1"
"DRG1",12.5177074260999,"DRG1"
"RNPC3",26.1436880610332,"RNPC3"
"SUMO2",51.6566290820271,"SUMO2"
"ZNF292",32.9081731409771,"ZNF292"
"MCMBP",14.6633117051719,"MCMBP"
"CTR9",18.0059014907422,"CTR9"
"SNX2",23.7807059690171,"SNX2"
"SMIM7",20.1660388084013,"SMIM7"
"UBA52",73.1003992690244,"UBA52"
"PRKDC",33.6378723946751,"PRKDC"
"NBPF15",23.109002328065,"NBPF15"
"GGNBP2",29.858066791308,"GGNBP2"
"M6PR",19.5278182870882,"M6PR"
"SLC25A5",42.1915555523617,"SLC25A5"
"LAMP2",26.1312635015561,"LAMP2"
"MAP4K5",14.629920395085,"MAP4K5"
"NUDCD3",11.0245526941117,"NUDCD3"
"RB1CC1",26.4000133166082,"RB1CC1"
"ERP44",24.9159104815688,"ERP44"
"ARID4A",18.6339825140633,"ARID4A"
"ARID4B",45.8127918205473,"ARID4B"
"EIF4B",51.0261668009496,"EIF4B"
"YBX1",55.4114397167028,"YBX1"
"DHX29",14.4268951292948,"DHX29"
"RASSF1",19.9600755073419,"RASSF1"
"PICALM",23.111809028384,"PICALM"
"LMAN1",25.7688816974565,"LMAN1"
"UBE2A",20.519100153758,"UBE2A"
"GNB1",29.2720831155193,"GNB1"
"SMARCA2",33.8437794948138,"SMARCA2"
"PUM3",16.5019861298366,"PUM3"
"BZW1",44.9215830518743,"BZW1"
"DIS3",13.6690877633935,"DIS3"
"CYLD",24.9800244635697,"CYLD"
"RAB10",24.8839366331547,"RAB10"
"NFX1",12.3596230563468,"NFX1"
"GNAS",61.5924117509489,"GNAS"
"ANAPC5",30.6643974349439,"ANAPC5"
"NUDC",26.1259601772151,"NUDC"
"EXOC1",14.8587745512857,"EXOC1"
"NUP50",22.2862979216378,"NUP50"
"BTAF1",22.0666398644898,"BTAF1"
"WAC",33.9648807320661,"WAC"
"MED15",16.8159236410845,"MED15"
"PSMA3",43.6686831380334,"PSMA3"
"PSMB5",16.0466496028696,"PSMB5"
"GID8",10.2774656452427,"GID8"
"CDS2",29.0207432063239,"CDS2"
"MAPRE1",22.9288797582402,"MAPRE1"
"PMPCB",19.4773436890903,"PMPCB"
"DNAJC2",16.2995253126146,"DNAJC2"
"ZC3HAV1",45.4887567721594,"ZC3HAV1"
"CHCHD2",51.4692869781648,"CHCHD2"
"USP42",8.49569417804627,"USP42"
"RPL28",70.2970181647632,"RPL28"
"CYTH1",30.3162970276701,"CYTH1"
"PSMD11",32.5582123240468,"PSMD11"
"ZNF330",11.5012219298783,"ZNF330"
"GTF2H1",9.51612264448236,"GTF2H1"
"PTGES3",49.2575761852599,"PTGES3"
"SRSF3",66.2483313558074,"SRSF3"
"SMAP1",13.5240519852439,"SMAP1"
"TCERG1",25.7262353361325,"TCERG1"
"UNC50",13.6079704922061,"UNC50"
"ACADM",12.0482269412819,"ACADM"
"RPF1",14.2216053599395,"RPF1"
"SPCS2",37.0915227044749,"SPCS2"
"FBXL5",19.9405966278672,"FBXL5"
"MRPS14",10.7049668871056,"MRPS14"
"NAA50",19.8045697472298,"NAA50"
"PDS5A",25.9806258670105,"PDS5A"
"VPS26A",23.1336448276049,"VPS26A"
"USP22",26.3775715757315,"USP22"
"SNRPC",18.4254391393704,"SNRPC"
"MRPS7",12.2795439575413,"MRPS7"
"THOC2",34.7306613752147,"THOC2"
"SNRPB",40.0881887502265,"SNRPB"
"EIF2S2",34.0597579016575,"EIF2S2"
"CAPNS1",23.7606499715413,"CAPNS1"
"UBA2",15.4629754148803,"UBA2"
"BECN1",15.9833249992568,"BECN1"
"PSMG2",18.8030552925919,"PSMG2"
"EIF2AK4",16.7881828804228,"EIF2AK4"
"COPB1",27.9461950822218,"COPB1"
